Date,Open,High,Low,Close,Volume,Adj Close
2012-11-06,34.57,34.57,34.57,34.57,000,34.57
2012-11-05,33.95,33.95,33.95,33.95,000,33.95
2012-11-02,33.94,33.94,33.94,33.94,000,33.94
2012-11-01,34.78,34.78,34.78,34.78,000,34.78
2012-10-31,34.89,34.89,34.89,34.89,000,34.89
2012-10-26,34.49,34.49,34.49,34.49,000,34.49
2012-10-25,34.69,34.69,34.69,34.69,000,34.69
2012-10-24,34.29,34.29,34.29,34.29,000,34.29
2012-10-23,34.68,34.68,34.68,34.68,000,34.68
2012-10-22,35.51,35.51,35.51,35.51,000,35.51
2012-10-19,35.30,35.30,35.30,35.30,000,35.30
2012-10-18,35.38,35.38,35.38,35.38,000,35.38
2012-10-17,36.13,36.13,36.13,36.13,000,36.13
2012-10-16,35.56,35.56,35.56,35.56,000,35.56
2012-10-15,34.95,34.95,34.95,34.95,000,34.95
2012-10-12,35.31,35.31,35.31,35.31,000,35.31
2012-10-11,35.71,35.71,35.71,35.71,000,35.71
2012-10-10,35.45,35.45,35.45,35.45,000,35.45
2012-10-09,35.41,35.41,35.41,35.41,000,35.41
2012-10-08,36.08,36.08,36.08,36.08,000,36.08
2012-10-05,36.19,36.19,36.19,36.19,000,36.19
2012-10-04,36.10,36.10,36.10,36.10,000,36.10
2012-10-03,35.46,35.46,35.46,35.46,000,35.46
2012-10-02,35.92,35.92,35.92,35.92,000,35.92
2012-10-01,36.09,36.09,36.09,36.09,000,36.09
2012-09-28,35.87,35.87,35.87,35.87,000,35.87
2012-09-27,35.67,35.67,35.67,35.67,000,35.67
2012-09-26,34.80,34.80,34.80,34.80,000,34.80
2012-09-25,34.96,34.96,34.96,34.96,000,34.96
2012-09-24,35.46,35.46,35.46,35.46,000,35.46
2012-09-21,36.54,36.54,36.54,36.54,000,36.54
2012-09-20,36.41,36.41,36.41,36.41,000,36.41
2012-09-19,36.83,36.83,36.83,36.83,000,36.83
2012-09-18,36.14,36.14,36.14,36.14,000,36.14
2012-09-17,35.95,35.95,35.95,35.95,000,35.95
2012-09-14,35.91,35.91,35.91,35.91,000,35.91
2012-09-13,34.78,34.78,34.78,34.78,000,34.78
2012-09-12,33.50,33.50,33.50,33.50,000,33.50
2012-09-11,33.66,33.66,33.66,33.66,000,33.66
2012-09-10,33.58,33.58,33.58,33.58,000,33.58
2012-09-07,33.65,33.65,33.65,33.65,000,33.65
2012-09-06,32.52,32.52,32.52,32.52,000,32.52
2012-09-05,31.44,31.44,31.44,31.44,000,31.44
2012-09-04,31.35,31.35,31.35,31.35,000,31.35
2012-08-31,31.15,31.15,31.15,31.15,000,31.15
2012-08-30,30.15,30.15,30.15,30.15,000,30.15
2012-08-29,30.86,30.86,30.86,30.86,000,30.86
2012-08-28,31.23,31.23,31.23,31.23,000,31.23
2012-08-27,31.46,31.46,31.46,31.46,000,31.46
2012-08-24,31.79,31.79,31.79,31.79,000,31.79
2012-08-23,31.82,31.82,31.82,31.82,000,31.82
2012-08-22,31.33,31.33,31.33,31.33,000,31.33
2012-08-21,30.94,30.94,30.94,30.94,000,30.94
2012-08-20,30.16,30.16,30.16,30.16,000,30.16
2012-08-17,30.11,30.11,30.11,30.11,000,30.11
2012-08-16,30.19,30.19,30.19,30.19,000,30.19
2012-08-15,29.42,29.42,29.42,29.42,000,29.42
2012-08-14,29.49,29.49,29.49,29.49,000,29.49
2012-08-13,29.87,29.87,29.87,29.87,000,29.87
2012-08-10,30.08,30.08,30.08,30.08,000,30.08
2012-08-09,30.03,30.03,30.03,30.03,000,30.03
2012-08-08,29.50,29.50,29.50,29.50,000,29.50
2012-08-07,29.49,29.49,29.49,29.49,000,29.49
2012-08-06,28.90,28.90,28.90,28.90,000,28.90
2012-08-03,28.64,28.64,28.64,28.64,000,28.64
2012-08-02,28.09,28.09,28.09,28.09,000,28.09
2012-08-01,28.32,28.32,28.32,28.32,000,28.32
2012-07-31,28.58,28.58,28.58,28.58,000,28.58
2012-07-30,29.05,29.05,29.05,29.05,000,29.05
2012-07-27,28.92,28.92,28.92,28.92,000,28.92
2012-07-26,28.35,30.08,28.35,28.35,000,28.35
2012-07-25,27.45,27.45,27.45,27.45,000,27.45
2012-07-24,26.53,26.53,26.53,26.53,000,26.53
2012-07-23,26.37,26.37,26.37,26.37,000,26.37
2012-07-20,27.25,27.25,27.25,27.25,000,27.25
2012-07-19,27.43,27.43,27.43,27.43,000,27.43
2012-07-18,27.09,27.09,27.09,27.09,000,27.09
2012-07-17,27.29,27.29,27.29,27.29,000,27.29
2012-07-16,27.39,27.39,27.39,27.39,000,27.39
2012-07-13,27.42,27.42,27.42,27.42,000,27.42
2012-07-12,27.00,27.00,27.00,27.00,000,27.00
2012-07-11,27.48,27.48,27.48,27.48,000,27.48
2012-07-10,27.84,27.84,27.84,27.84,000,27.84
2012-07-09,28.67,28.67,28.67,28.67,000,28.67
2012-07-06,29.03,29.03,29.03,29.03,000,29.03
2012-07-05,29.85,29.85,29.85,29.85,000,29.85
2012-07-03,29.77,29.77,29.77,29.77,000,29.77
2012-07-02,28.81,28.81,28.81,28.81,000,28.81
2012-06-29,28.79,28.79,28.79,28.79,000,28.79
2012-06-28,27.57,27.57,27.57,27.57,000,27.57
2012-06-27,28.61,28.61,28.61,28.61,000,28.61
2012-06-26,28.70,28.70,28.70,28.70,000,28.70
2012-06-25,28.87,28.87,28.87,28.87,000,28.87
2012-06-22,28.97,28.97,28.97,28.97,000,28.97
2012-06-21,29.60,29.60,29.60,29.60,000,29.60
2012-06-20,31.47,31.47,31.47,31.47,000,31.47
2012-06-19,31.66,31.66,31.66,31.66,000,31.66
2012-06-18,31.54,31.54,31.54,31.54,000,31.54
2012-06-15,30.84,30.84,30.84,30.84,000,30.84
2012-06-14,30.69,30.69,30.69,30.69,000,30.69
2012-06-13,30.71,30.71,30.71,30.71,000,30.71
2012-06-12,30.68,30.68,30.68,30.68,000,30.68
2012-06-11,30.01,30.01,30.01,30.01,000,30.01
2012-06-08,30.54,30.54,30.54,30.54,000,30.54
2012-06-07,30.71,30.71,30.71,30.71,000,30.71
2012-06-06,31.44,31.44,31.44,31.44,000,31.44
2012-06-05,30.77,30.77,30.77,30.77,000,30.77
2012-06-04,30.16,30.16,30.16,30.16,000,30.16
2012-06-01,29.88,29.88,29.88,29.88,000,29.88
2012-05-31,28.91,28.91,28.91,28.91,000,28.91
2012-05-30,29.03,29.03,29.03,29.03,000,29.03
2012-05-29,29.41,29.41,29.41,29.41,000,29.41
2012-05-25,29.16,29.16,29.16,29.16,000,29.16
2012-05-24,28.99,28.99,28.99,28.99,000,28.99
2012-05-23,28.84,28.84,28.84,28.84,000,28.84
