Date,Open,High,Low,Close,Volume,Adj Close
2012-09-19,147.42,147.81,147.06,147.39,4027100,145.66
2012-09-18,147.12,147.43,146.88,147.28,5051000,145.55
2012-09-17,147.57,147.82,147.00,147.42,1742800,145.69
2012-09-14,147.48,148.74,147.39,147.88,4585800,146.14
2012-09-13,144.98,147.66,144.77,147.33,4307200,145.60
2012-09-12,145.00,145.15,144.50,145.04,2398000,143.33
2012-09-11,144.21,144.96,144.16,144.46,2265200,142.76
2012-09-10,144.77,145.03,144.07,144.10,1958100,142.41
2012-09-07,144.61,145.00,144.49,145.00,3132600,143.29
2012-09-06,142.36,144.37,142.33,144.35,2754500,142.65
2012-09-05,141.67,142.02,141.20,141.48,3378500,139.82
2012-09-04,141.63,142.03,140.71,141.28,12818000,139.62
2012-08-31,141.86,142.40,140.93,141.88,4672400,140.21
2012-08-30,141.48,141.51,140.77,141.08,2324900,139.42
2012-08-29,142.13,142.48,141.72,142.10,2054400,140.43
2012-08-28,141.77,142.42,141.50,141.96,1483800,140.29
2012-08-27,142.49,142.66,141.92,142.11,1622100,140.44
2012-08-24,140.87,142.39,140.79,142.17,2752000,140.50
2012-08-23,142.04,142.06,141.04,141.26,2238500,139.60
2012-08-22,141.98,142.62,141.66,142.40,2787600,140.73
2012-08-21,143.12,143.67,142.03,142.37,2576300,140.70
2012-08-20,142.59,142.83,142.18,142.83,2412200,141.15
2012-08-17,142.81,142.89,142.44,142.79,2361800,141.11
2012-08-16,141.74,142.74,141.39,142.56,2476500,140.88
2012-08-15,141.22,141.75,141.14,141.56,1510300,139.90
2012-08-14,141.87,141.96,140.95,141.40,1957700,139.74
2012-08-13,141.20,141.41,140.61,141.32,2452900,139.66
2012-08-10,140.64,141.47,140.38,141.38,2340100,139.72
2012-08-09,140.84,141.44,140.72,141.20,1429400,139.54
2012-08-08,140.39,141.22,140.37,141.11,2544300,139.45
2012-08-07,140.77,141.48,140.73,140.91,2064900,139.25
2012-08-06,140.28,140.72,140.12,140.20,2727400,138.55
2012-08-03,139.15,140.19,139.06,139.87,15986900,138.22
2012-08-02,137.15,138.10,136.15,137.20,2773400,135.59
